Law Id,State,Title,Text,Enacted Date,Amended Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References,Status,Status Date
344,US,Vehicle Incremental Cost Allocation,"The U.S. General Services Administration (GSA) must allocate the
incremental cost of purchasing alternative fuel vehicles (AFVs) across
the entire fleet of vehicles distributed by GSA. This mandate also
applies to other federal agencies that procure vehicles for federal
fleets. For more information, see the GSA\'s
[AFV](http://www.gsa.gov/afv) website. (Reference 42 [U.S.
Code](https://www.govinfo.gov/) 13212 (c))
",1992-10-24 00:00:00 UTC,2005-08-08 00:00:00 UTC,false,61,Laws and Regulations,U.S. General Services Administration,,,,,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,"",REQ,GOV,"",amended,2005-08-08
346,US,Fuel Economy Test Procedures and Labeling,"The U.S. Environmental Protection Agency (EPA) is responsible for motor
vehicle fuel economy testing. Manufacturers test their own vehicles and
report the results to EPA. EPA reviews the results and confirms a
portion of them using their own testing facilities. To aid consumers
shopping for new vehicles, EPA redesigned the fuel economy window
sticker posted on all new cars and light trucks starting with Model Year
2013 vehicles to be easier to read and understand. EPA also redesigned
fuel economy window stickers for electric and other advanced vehicles.
EPA is responsible for providing the posted fuel economy data and does
so through the [FuelEconomy.gov](http://www.fueleconomy.gov/) website.
For more information, visit EPA\'s [Fuel
Economy](http://www.epa.gov/fueleconomy/) website. (Reference 40
[CFR](https://www.govinfo.gov/) 600)
",2005-08-08 00:00:00 UTC,,false,32,Laws and Regulations,U.S. Environmental Protection Agency,,,,,"",EFFEC,"",OTHER,MAN,"",enacted,2005-08-08
347,US,Vehicle Acquisition and Fuel Use Requirements for State and Alternative Fuel Provider Fleets,"Under the Energy Policy Act (EPAct) of 1992, as amended, certain state
government and alternative fuel provider fleets are required to acquire
alternative fuel vehicles (AFVs) as a portion of their annual light-duty
vehicle acquisitions. Compliance is required by fleets that operate,
lease, or control 50 or more light-duty vehicles within the United
States. Of those 50 vehicles, at least 20 must be used primarily within
a single Metropolitan Statistical Area/Consolidated Metropolitan
Statistical Area, and those same 20 vehicles must also be capable of
being centrally fueled for the fleet to be subject to the regulatory
requirements.

Under [Standard
Compliance](https://epact.energy.gov/standard-compliance), the AFVs that
covered fleets acquire help them achieve compliance, with each AFV
acquired earning the fleet one AFV-acquisition credit. Covered fleets
may earn additional credits for AFVs earned in excess of their
requirements, and these credits may be banked for future use toward
compliance or traded with other fleets. Additionally, fleets that use
fuel blends containing at least 20% biodiesel (B20) in medium- and
heavy-duty vehicles may earn credits toward their annual AFV-acquisition
requirements. A fleet may also earn credits that may be used toward
compliance or banked once the fleet achieves compliance for investments
in alternative fuel infrastructure, mobile non-road equipment, and
emerging technologies associated with certain electric drive vehicle
technologies.

Fleets may also opt into [Alternative
Compliance](https://epact.energy.gov/alternative-compliance), which
allows fleets the option to choose a petroleum reduction path in lieu of
acquiring AFVs under Standard Compliance. Interested fleets must obtain
from DOE a waiver from Standard Compliance by submitting a plan that
demonstrates a path by which they will achieve a certain level of
petroleum reduction specific to their fleet composition.

For more information, visit the [EPAct State and Alternative Fuel
Provider Fleets](https://epact.energy.gov/) website.

(Reference 42 [U.S. Code](https://www.govinfo.gov/) 13251 and 13263a,
and 10 [CFR](https://www.govinfo.gov/) 490)
",1992-10-24 00:00:00 UTC,2007-03-20 00:00:00 UTC,false,23,Laws and Regulations,U.S. Department of Energy,2015-01-02 16:15:19 UTC,,,,"",BIOD|ETH|ELEC|EFFEC|HY|NG|PHEV|LPG,"",REQ,FLEET|GOV,"",amended,2007-03-20
357,US,Vehicle Acquisition and Fuel Use Requirements for Federal Fleets,"Under the Energy Policy Act (EPAct) of 1992, 75% of new light-duty
vehicles acquired by covered federal fleets must be alternative fuel
vehicles (AFVs). As amended in January 2008, Section 301 of EPAct 1992
expands the definition of AFVs to include hybrid electric vehicles, fuel
cell vehicles, and advanced lean burn vehicles. Fleets that use fuel
blends containing at least 20% biodiesel (B20) may earn credits toward
their annual requirements. Federal fleets are also required to use
alternative fuels in dual-fuel vehicles unless the U.S. Department of
Energy (DOE) approves waivers for agency vehicles; grounds for a waiver
include lack of alternative fuel availability and unreasonable cost (per
EPAct 2005, section 701).

Additional requirements for federal fleets were included in the [Energy
Independence and Security Act of
2007](http://www.afdc.energy.gov/laws/eisa), such as fleet management
plans and petroleum reduction from 2005 levels (Section 142), low
greenhouse gas (GHG) emitting vehicle acquisition requirements (Section
141), and renewable fuel infrastructure installation requirements
(Section 246). For more information, see the [Federal Fleet
Management](https://federalfleets.energy.gov/) website.

To track progress toward meeting AFV acquisition and fuel use
requirements, federal fleets must report on their percent alternative
fuel increase compared to the fiscal year 2005 baseline, alternative
fuel use as a percentage of total fuel consumption, AFV acquisitions as
a percentage of vehicle acquisitions, and fleet-wide miles per gasoline
gallon equivalent of petroleum fuels.

Executive Order 13834, issued in May 2018, requires the Secretary of
Energy (Secretary), in coordination with the Secretary of Defense, the
Administrator of General Services, and the heads of other agencies as
appropriate, to review the existing federal vehicle fleet requirements.
In April 2019, the Secretary provided a report to the Chairman of the
Council on Environmental Quality and the Director of the Office of
Management and Budget detailing opportunities to optimize federal fleet
performance, reduce associated costs, and streamline reporting and
compliance requirements. Specifically, the report recommends that
federal agencies identify and implement strategies to:

-   Right-size the fleet
-   Reduce vehicle miles traveled
-   Implement more fuel efficient vehicles
-   Align the implementation of AFVs and associated fueling
    infrastructure

Executive Order 14008, issued in January 2021, requires the Chair of the
Council on Environmental Quality, the Administrator of General Services,
and the Director of the Office and Management and Budget, in
coordination with the Secretary of Commerce, the Secretary of Labor, the
Secretary, and the heads of other relevant agencies, to assist the
National Climate Advisor in developing a comprehensive plan to
facilitate clean and zero-emission vehicles for federal, state, local,
and tribal government fleets, including vehicles of the U.S. Postal
Service. The plan must be submitted to the National Climate Task Force
by April 27, 2021.

(Reference 42 [U.S. Code](https://www.govinfo.gov/) 13212 and [Executive
Order
13834](https://www.gpo.gov/fdsys/pkg/FR-2018-05-22/pdf/2018-11101.pdf)
and [Executive Order
14008](https://www.govinfo.gov/content/pkg/FR-2021-02-01/pdf/2021-02177.pdf))
",1992-10-24 00:00:00 UTC,2021-01-27 00:00:00 UTC,false,22,Laws and Regulations,U.S. Department of Energy,2021-04-06 23:22:28 UTC,,,,"",BIOD|ETH|ELEC|EFFEC|HEV|HY|NG|PHEV|LPG,"",REQ,GOV|TRIBAL,http://www.gpo.gov/fdsys|https://www.gpo.gov/fdsys/pkg/FR-2018-05-22/pdf/2018-11101.pdf|https://www.govinfo.gov/content/pkg/FR-2021-02-01/pdf/2021-02177.pdf,amended,2021-01-27
358,US,Vehicle Acquisition and Fuel Use Requirements for Private and Local Government Fleets,"Under the Energy Policy Act (EPAct) of 1992, the U.S. Department of
Energy (DOE) was directed to determine whether private and local
government fleets should be mandated to acquire alternative fuel
vehicles (AFVs). In January 2004, DOE published a final rule announcing
its decision not to implement an AFV acquisition mandate for private and
local government fleets. In response to a March 2006 ruling by a U.S.
District Court, DOE issued a subsequent final rulemaking on the new
Replacement Fuel Goal in March 2007, which extended the EPAct 1992 goal
to 2030. The goal is to achieve a domestic production capacity for
replacement fuels sufficient to replace 30% of the U.S. motor fuel
consumption. In March 2008, DOE issued its determination not to
implement a fleet compliance mandate for private and local government
fleets, concluding that such a mandate is not necessary to achieve the
Replacement Fuel Goal. For more information on the Private and Local
Government Fleet Rule compliance, visit the [EPAct Private and Local
Government Fleet Determination](https://epact.energy.gov/about) website.
(Reference 42 [U.S. Code](https://www.govinfo.gov/) 13257)
",1992-10-24 00:00:00 UTC,2008-03-14 00:00:00 UTC,false,24,Laws and Regulations,U.S. Department of Energy,,,,,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,"",REQ,FLEET|GOV,"",amended,2008-03-14
378,US,Biomass Research and Development Initiative,"The U.S. Department of Agriculture's National Institute of Food and
Agriculture, in conjunction with U.S. Department of Energy's Office of
Biomass Programs, provides grant funding for projects addressing
research, development, and demonstration of biofuels and bio-based
products and the methods, practices, and technologies for their
production, under the Biomass Research and Development Initiative
(Section 9008). The competitive award process focuses on three main
technical areas: feedstock development; biofuels and bio-based products
development; and biofuels development analysis. Eligible applicants are
institutions of higher learning, national laboratories, federal research
agencies, private sector entities, and non-profit organizations. The
non-federal share of the total project cost must be at least 20% for
research and development projects and 50% for demonstration projects.
Renewable biomass is defined as materials, pre-commercial thinnings, or
invasive species on National Forest System land that qualify as
by-products of preventative treatments, are harvested in accordance with
applicable laws, and would not otherwise be used for higher-value
products, as well as naturally reoccurring organic matter on non-federal
or non-tribal lands, including renewable plant material, feed grains,
other plants and trees, algae, and vegetable and animal waste material
and by-products. This program's funding is subject to congressional
appropriations. For more information, see the [Biomass Research &
Development](https://biomassboard.gov/) website. (Reference [Public
Law](https://www.congress.gov/public-laws/116th-congress) 113-79 and 7
[U.S. Code](http://www.gpo.gov/fdsys/) 8108)
",2002-05-13 00:00:00 UTC,2014-02-07 00:00:00 UTC,false,55,Incentives,U.S. Department of Agriculture,,,,,"",BIOD|ETH,GNT,"",AFP,"",amended,2014-02-07
379,US,Value-Added Producer Grants (VAPG),"Value-Added Producer Grants (VAPG) are available to help independent
agricultural producers enter into or expand value-added activities,
including innovative uses of agricultural projects, such as biofuels
production. Eligible applicants include independent producers, farmer
and rancher cooperatives, agricultural producer groups, and
majority-controlled producer-based business ventures. Participants may
apply for either a planning grant or a working capital grant, but not
both. In addition, no more than 10% of program funds may be awarded to
majority-controlled producer-based business ventures. Grants are awarded
to projects determined to be economically viable and sustainable. For
more information about grant eligibility, see the
[VAPG](https://www.rd.usda.gov/programs-services/value-added-producer-grants)
website and contact the appropriate [State Rural Development
Office](https://www.rd.usda.gov/contact-us/state-offices). This
program's funding is subject to congressional appropriations. (Reference
[Public Law](https://www.congress.gov/public-laws/113th-congress)
113-79, Section 6203; and 7 [U.S. Code](https://www.govinfo.gov/) 1632a)
",2002-05-13 00:00:00 UTC,2014-02-07 00:00:00 UTC,false,44,Incentives,U.S. Department of Agriculture,,,,,"",BIOD|ETH,GNT,"",AFP,http://www.gpo.gov/fdsys/|http://www.congress.gov/,amended,2014-02-07
383,US,Voluntary Airport Low Emission (VALE) Program,"The goal of the VALE Program is to reduce ground level emissions at
commercial service airports located in designated ozone and carbon
monoxide air quality nonattainment and maintenance areas. The VALE
Program provides funding through the Airport Improvement Program and the
Passenger Facility Charges program for the purchase of low emission
vehicles, development of fueling and recharging stations, implementing
gate electrification, and other airport air quality improvements. For
more information, see the [VALE
Program](http://www.faa.gov/airports/environmental/vale/) website.
(Reference 49 [U.S. Code](https://www.govinfo.gov/) 47139)
",2005-08-10 00:00:00 UTC,,false,56,Programs,U.S. Department of Transportation,,,,,"",BIOD|ETH|ELEC|HEV|HY|NG|PHEV|LPG,GNT,"",STATION|FLEET,"",enacted,2005-08-10
385,US,Vehicle Fuel Economy and Greenhouse Gas (GHG) Emissions Standards,"Vehicle manufacturers must meet fuel economy and GHG emissions standards
for vehicles sold in the United States. The U.S. Department of
Transportation's (DOT) National Highway Traffic Safety Administration
(NHTSA) regulates fuel economy standards, while the U.S. Environmental
Protection Agency (EPA) regulates GHG emissions.

NHTSA's Corporate Average Fuel Economy (CAFE) program and EPA's
light-duty vehicle GHG emissions program set standards for passenger
cars, light-duty trucks, and medium-duty passenger vehicles. By Model
Year (MY) 2025, these vehicles must meet an estimated combined average
fuel economy of 48.7 to 49.7 miles per gallon or higher. The standards
provide flexibility to manufacturers, including the ability to earn
credits for alternative fuel vehicles. For information on the standards
from MY 2017 to 2025, see the [final
rule](http://www.gpo.gov/fdsys/pkg/FR-2012-10-15/pdf/2012-21972.pdf) in
the Federal Register.

Additionally, fuel efficiency standards will increase by 2% per year for
MY 2027 to 2031 passenger vehicles and MY 2029 to 2031 light-duty
trucks. For more information on the standards from MY 2027 to 2031, see
the NHTSA [final
rule](https://www.nhtsa.gov/sites/nhtsa.gov/files/2024-06/CAFE-2027-2031-HDPUV-2030-2035_Final-Rule_web_0.pdf).

NHTSA and EPA also regulate fuel economy and GHG emissions for on-road
vehicles with a gross vehicle weight rating (GVWR) of 8,500 pounds or
greater and the engines that power them. For MY 2014 to 2018 medium- and
heavy-duty vehicles that are not already covered by the standards
described above, manufacturers must meet increasingly stringent fuel
economy and GHG emissions standards tailored to each of three main
regulatory subcategories: combination tractors (also known as semi
trucks); heavy-duty pickup trucks and vans; and vocational vehicles
(such as delivery, refuse, and tow trucks; transit, shuttle, and school
buses; and emergency vehicles). The standards provide flexibility,
allowing for emissions and/or fuel consumption credits to be averaged,
banked, or traded. For more information, refer to the [final
rule](http://www.gpo.gov/fdsys/pkg/FR-2011-09-15/html/2011-20740.htm) in
the Federal Register.

For more information, see the EPA's [Regulations and
Standards](https://www.epa.gov/regulations-emissions-vehicles-and-engines/regulations-greenhouse-gas-ghg-emissions)
website and NHTSA's [CAFE](http://www.nhtsa.gov/fuel-economy/) website.

(Reference [40 CFR 85-86, 600, 1033, 1036-1037, 1039, 1065-1066, and 1068](https://www.govinfo.gov/), [49 CFR 523, 531, 533-534, and 537-538](https://www.govinfo.gov/), and [49 U.S. Code 329](https://www.govinfo.gov/))",1975-12-22 00:00:00 UTC,2011-09-15 00:00:00 UTC,false,58,Laws and Regulations,U.S. Department of Transportation,,,,,"",EFFEC,"",AIRQEMISSIONS|CCEINIT,MAN,https://www.govinfo.gov/|https://www.govinfo.gov/|https://www.govinfo.gov/,amended,2011-09-15
386,US,High Occupancy Vehicle (HOV) Lane Exemption,"States are allowed to exempt certified alternative fuel vehicles (AFVs)
and electric vehicles (EVs) from HOV lane requirements within the state.
Eligible AFVs are defined as vehicles operating solely on methanol,
denatured ethanol, or other alcohols; a mixture containing at least 85%
methanol, denatured ethanol, or other alcohols; natural gas, propane,
hydrogen, or coal derived liquid fuels; or fuels derived from biological
materials. EVs are defined as vehicles that are recharged from an
external source of electricity and have a battery capacity of at least 4
kilowatt-hours. States are also allowed to establish programs allowing
low-emission and energy-efficient vehicles to pay a toll to access HOV
lanes.

Vehicles must be certified by the U.S. Environmental Protection Agency
(EPA) and appropriately labeled for use in HOV lanes. The U.S.
Department of Transportation (DOT) is responsible for planning and
implementing HOV programs, including the low-emission and
energy-efficient vehicle criteria EPA established. States that choose to
adopt these requirements will be responsible for enforcement and vehicle
labeling. The HOV exemption for AFVs and EVs expires September 30, 2025
and low-emission and energy-efficient vehicle toll-access to HOV lanes
expired September 30, 2019.

(Reference [Public
Law](https://www.congress.gov/public-laws/114th-congress) 114-94 and 23
[U.S. Code](https://www.govinfo.gov/) 166)
",2005-08-10 00:00:00 UTC,2015-12-04 00:00:00 UTC,false,59,Laws and Regulations,U.S. Department of Transportation,2015-12-14 22:09:37 UTC,,,,"",BIOD|ETH|ELEC|EFFEC|HY|NG|OTHER|PHEV|LPG,"",DREST,IND,http://www.gpo.gov/fdsys/|https://www.congress.gov/114/plaws/publ94/PLAW-114publ94.pdf,amended,2015-12-04
388,US,Aftermarket Alternative Fuel Vehicle (AFV) Conversions,"Conventional original equipment manufacturer vehicles altered to operate
on propane, natural gas, methane gas, ethanol, or electricity are
classified as aftermarket AFV conversions. All vehicle conversions,
except those that are completed for a vehicle to run on electricity,
must meet current applicable U.S. Environmental Protection Agency (EPA)
standards. For more information about vehicle conversion certification
requirements, see the Alternative Fuels Data Center\'s [Vehicle
Conversions](https://afdc.energy.gov/vehicles/conversions.html) website
and EPA\'s [Certification and Compliance for Vehicles and
Engines](https://www.epa.gov/ve-certification) website. (Reference 40
[CFR](https://www.govinfo.gov/) 85 and [Enforcement Policy on Vehicle
and Engine Tampering and Aftermarket Defeat
Devices](https://www.epa.gov/sites/default/files/2020-12/documents/epatamperingpolicy-enforcementpolicyonvehicleandenginetampering.pdf))
",2011-04-08 00:00:00 UTC,2011-03-30 00:00:00 UTC,false,37,Laws and Regulations,U.S. Environmental Protection Agency,,,,,"",AFTMKTCONV|ETH|ELEC|HEV|NG|PHEV|LPG,"",AIRQEMISSIONS,MAN|FLEET|GOV|IND,http://www.gpo.gov/fdsys/,amended,2011-03-30
389,US,Diesel Emissions Reduction Act (DERA) Program,"The U.S. Environmental Protection Agency established the DERA Program to
reduce pollution emitted from diesel engines through the implementation
of varied control strategies and the involvement of national, state,
local, and tribal partners. DERA includes programs for existing diesel
fleets, regulations for clean diesel engines and fuels, and regional
collaborations and partnerships. For information on available grants and
funding opportunities, see the [DERA Funding](https://www.epa.gov/dera)
website.

(Reference [Public Law 109-58](https://www.congress.gov/public-laws/109th-congress), [Public Law 111-364](https://www.congress.gov/public-laws/111th-congress), and [42 U.S. Code 16131-16137](https://www.govinfo.gov/))",2005-08-08 00:00:00 UTC,2011-01-04 00:00:00 UTC,false,32,Programs,U.S. Environmental Protection Agency,,,,,"",AFTMKTCONV|BIOD|EFFEC|IR|NG|OTHER|LPG,GNT|OTHER,"",FLEET|GOV|TRIBAL,https://www.congress.gov/public-laws/109th-congress|https://www.congress.gov/public-laws/111th-congress|https://www.govinfo.gov/,amended,2011-01-04
